Original Operator,NNG Operator,Target,Staging Usage,Peak% (Staging),Op Cycles,Network% (cycles),NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network% (MAC),Util% (MAC),Name
Conv2D,Conv2D,NPU,61216,16.968998092872667,6249,1.5449275004017455,4313,1250,6249,0,0,332800,0.8173245294121403,2.6004160665706513,model_1/tf.math.add_15/Add;model_1/tf.nn.convolution_8/convolution;Const_1011
Add,Add,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.math.add_16/Add
Conv2D,Conv2D,NPU,33104,9.176387102497007,1500,0.37084193480598787,1060,1500,781,0,0,332800,0.8173245294121403,10.833333333333334,model_1/tf.math.add_17/Add;model_1/tf.nn.convolution_9/convolution;Const_991
Prelu,Mul,NPU,38400,10.644431631702666,400,0.0988911826149301,200,400,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_10/AddV2;model_1/tf.nn.relu_20/Relu;model_1/tf.math.negative_10/Neg;model_1/tf.nn.relu_21/Relu;model_1/tf.math.multiply_27/Mul1_rescaled
Prelu,Mul,NPU,44800,12.418503570319777,625,0.15451747283582828,400,625,19,0,0,0,0.0,0.0,model_1/tf.__operators__.add_10/AddV2;model_1/tf.nn.relu_20/Relu;model_1/tf.math.negative_10/Neg;model_1/tf.nn.relu_21/Relu;model_1/tf.math.multiply_27/Mul1
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add_10/AddV2;model_1/tf.nn.relu_20/Relu;model_1/tf.math.negative_10/Neg;model_1/tf.nn.relu_21/Relu;model_1/tf.math.multiply_27/Mul1
DepthwiseConv2D,DepthwiseConv2D,NPU,38832,10.76418148755932,2244,0.5547795344697578,2244,408,390,0,0,46800,0.11493626194858224,1.0183405748663101,model_1/tf.math.add_18/Add;model_1/tf.compat.v1.nn.depthwise_conv2d_5/depthwise;Const_961
Prelu,Mul,NPU,38400,10.644431631702666,400,0.0988911826149301,200,400,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_11/AddV2;model_1/tf.nn.relu_22/Relu;model_1/tf.math.negative_11/Neg;model_1/tf.nn.relu_23/Relu;model_1/tf.math.multiply_29/Mul1_rescaled
Prelu,Mul,NPU,44800,12.418503570319777,625,0.15451747283582828,400,625,19,0,0,0,0.0,0.0,model_1/tf.__operators__.add_11/AddV2;model_1/tf.nn.relu_22/Relu;model_1/tf.math.negative_11/Neg;model_1/tf.nn.relu_23/Relu;model_1/tf.math.multiply_29/Mul1
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add_11/AddV2;model_1/tf.nn.relu_22/Relu;model_1/tf.math.negative_11/Neg;model_1/tf.nn.relu_23/Relu;model_1/tf.math.multiply_29/Mul1
Conv2D,Conv2D,NPU,61248,16.97786845256575,6249,1.5449275004017455,4313,1250,6249,0,0,332800,0.8173245294121403,2.6004160665706513,model_1/tf.math.add_19/Add;model_1/tf.nn.convolution_10/convolution;Const_931
Add,Add,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.math.add_20/Add
Conv2D,Conv2D,NPU,139392,38.639286823080674,11718,2.897017194704377,4504,7985,11718,0,0,5913600,14.523228176477263,24.6415770609319,model_1/tf.math.add_21/Add;model_1/tf.nn.convolution_11/convolution;Const_911
Prelu,Mul,NPU,192000,53.22215815851333,6000,1.4833677392239515,3000,6000,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_12/AddV2;model_1/tf.nn.relu_24/Relu;model_1/tf.math.negative_12/Neg;model_1/tf.nn.relu_25/Relu;model_1/tf.math.multiply_33/Mul1_rescaled
Prelu,Mul,NPU,288000,79.83323723776999,9375,2.317762092537424,6000,9375,292,0,0,0,0.0,0.0,model_1/tf.__operators__.add_12/AddV2;model_1/tf.nn.relu_24/Relu;model_1/tf.math.negative_12/Neg;model_1/tf.nn.relu_25/Relu;model_1/tf.math.multiply_33/Mul1
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add_12/AddV2;model_1/tf.nn.relu_24/Relu;model_1/tf.math.negative_12/Neg;model_1/tf.nn.relu_25/Relu;model_1/tf.math.multiply_33/Mul1
DepthwiseConv2D,DepthwiseConv2D,NPU,125024,34.65649532088526,5859,1.4485085973521885,2338,4687,5859,0,0,207900,0.5105822405792788,1.7326108870967742,model_1/tf.math.add_22/Add;model_1/tf.compat.v1.nn.depthwise_conv2d_6/depthwise;Const_871
Prelu,Mul,NPU,48000,13.305539539628333,1500,0.37084193480598787,750,1500,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_13/AddV2;model_1/tf.nn.relu_26/Relu;model_1/tf.math.negative_13/Neg;model_1/tf.nn.relu_27/Relu;model_1/tf.math.multiply_35/Mul1_rescaled
Prelu,Mul,NPU,72000,19.958309309442498,2343,0.5792551021669531,1500,2343,48,0,0,0,0.0,0.0,model_1/tf.__operators__.add_13/AddV2;model_1/tf.nn.relu_26/Relu;model_1/tf.math.negative_13/Neg;model_1/tf.nn.relu_27/Relu;model_1/tf.math.multiply_35/Mul1
Prelu,Maximum,NPU,0,0.0,0,0.0,0,0,0,0,0,0,0.0,100,model_1/tf.__operators__.add_13/AddV2;model_1/tf.nn.relu_26/Relu;model_1/tf.math.negative_13/Neg;model_1/tf.nn.relu_27/Relu;model_1/tf.math.multiply_35/Mul1
Conv2D,Conv2D,NPU,36800,10.200913647048388,4764,1.1777939849438175,4764,1171,3124,0,0,2956800,7.261614088238631,30.305415617128464,model_1/tf.math.add_23/Add;model_1/tf.nn.convolution_12/convolution;Const_841
Conv2D,Conv2D,NPU,72032,19.967179669135582,6249,1.5449275004017455,3775,2571,6249,0,0,2956800,7.261614088238631,23.103696591454632,model_1/tf.math.add_24/Add;model_1/tf.nn.convolution_13/convolution;Const_821
Prelu,Mul,NPU,60800,16.853683416862555,1500,0.37084193480598787,750,1500,0,0,0,0,0.0,0.0,model_1/tf.__operators__.add_14/AddV2;model_1/tf.nn.relu_28/Relu;model_1/tf.math.negative_14/Neg;model_1/tf.nn.relu_29/Relu;model_1/tf.math.multiply_37/Mul1_rescaled
